,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
217,000507.SZ,20190322,7.8095,8.0281,7.6605,7.9486,7.8195,0.12910000000000021,1.651,462679.64,368074.587
218,000507.SZ,20190321,7.889,7.9288,7.7698,7.8195,7.8294,-0.00990000000000002,-0.1264,275902.9,217492.321
219,000507.SZ,20190320,7.7301,7.8791,7.6804,7.8294,7.7797,0.04969999999999963,0.6388,262577.92,206162.414
220,000507.SZ,20190319,7.7301,7.8493,7.6903,7.7797,7.7301,0.049599999999999866,0.6416,225127.29,176093.588
221,000507.SZ,20190318,7.5711,7.7301,7.4916,7.7301,7.5612,0.16889999999999983,2.2338,173792.15,133972.665
222,000507.SZ,20190315,7.4618,7.6605,7.4618,7.5612,7.4519,0.10930000000000017,1.4667,139077.97,105986.064
223,000507.SZ,20190314,7.5313,7.6804,7.3823,7.4519,7.6108,-0.15890000000000004,-2.0878,178779.85,135246.616
224,000507.SZ,20190313,7.7698,7.7698,7.5711,7.6108,7.7599,-0.1490999999999998,-1.9214,203746.25,157415.345
225,000507.SZ,20190312,7.7996,7.8394,7.6804,7.7599,7.74,0.019899999999999807,0.2571,305582.48,238908.458
226,000507.SZ,20190311,7.4817,7.8394,7.4717,7.74,7.4817,0.2583000000000002,3.4524,246548.21,191099.216
227,000507.SZ,20190308,7.9288,7.9387,7.4717,7.4817,8.0579,-0.5762,-7.1507,372481.74,289103.592
228,000507.SZ,20190307,7.9785,8.2169,7.9089,8.0579,8.0281,0.029799999999999827,0.3712,439087.45,356890.89
229,000507.SZ,20190306,7.9884,8.1374,7.8394,8.0281,7.9685,0.05960000000000054,0.7479,459056.5,369874.219
230,000507.SZ,20190305,7.8592,7.9685,7.7996,7.9685,7.899,0.06949999999999967,0.8799,281633.57,223457.496
231,000507.SZ,20190304,7.8493,8.0083,7.8493,7.899,7.8294,0.06960000000000033,0.889,390792.74,311439.446
232,000507.SZ,20190301,7.8692,7.9288,7.7499,7.8294,7.889,-0.05960000000000054,-0.7555,225536.5,177169.933
