date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2009-12-31,sz.002269,8.0805587200,8.4014839200,7.1144049600,7.6515324000,69383175,1598146508.3100,2,66.079214,-5.269762
2010-01-29,sz.002269,7.6853140000,9.2899400000,7.4927588800,8.7494344000,54871907,1368746160.9500,2,52.258959,14.348786
2010-02-26,sz.002269,8.8440228800,8.8845608000,8.2731138400,8.6143080000,14452932,366492286.1400,2,13.764697,-1.544402
2010-03-31,sz.002269,8.6109298400,8.9284768800,7.7224737600,7.9319196800,42168667,1013199784.6800,2,40.160635,-7.921569
2010-04-30,sz.002269,7.9319196800,8.5062068800,7.0671107200,7.1785900000,124219426,2848534597.2700,2,118.304215,-9.497445
2010-05-31,sz.002269,7.0637325600,7.1954808000,6.0131248000,6.8146980000,35949694,704071369.9600,2,34.237804,-5.069257
2010-06-30,sz.002269,6.6525254400,7.6359122400,6.3419822400,6.5179567200,27069336,549010985.3400,2,25.780320,-4.354430
2010-07-30,sz.002269,6.5559120000,7.3184680800,6.0728448000,7.0734840000,36659590,721318405.5700,2,34.913895,8.523028
2010-08-31,sz.002269,7.0734840000,9.8683728000,7.0148258400,9.7890117600,58936350,1404603327.9600,2,56.129857,38.390244
2010-09-30,sz.002269,9.7890117600,9.9684367200,9.0161042400,9.9373824000,40035048,1097194624.6400,2,38.128617,1.515686
2010-10-29,sz.002269,9.8683728000,10.8690120000,8.7297144000,10.7309928000,38229996,1073278997.3600,2,36.409520,7.986111
2010-11-30,sz.002269,10.7344432800,13.6535493600,10.4204496000,13.3706100000,39630070,1328843946.5600,2,37.742924,24.598071
2010-12-31,sz.002269,13.3982138400,13.6259455200,10.6964880000,12.0180218400,38848580,1353772675.2700,2,36.998648,-10.116129
2011-01-31,sz.002269,12.0249228000,12.4838366400,9.6613440000,11.2140600000,31793085,1018076093.8300,2,30.279129,-6.689635
2011-02-28,sz.002269,11.2623667200,11.2623667200,10.1375102400,10.5239640000,20350548,619112557.5400,2,19.381474,-6.153846
2011-03-31,sz.002269,10.5412164000,11.3313763200,9.7648584000,10.0063920000,41927232,1259191216.4300,2,39.930697,-4.918033
2011-04-29,sz.002269,10.0581492000,11.4072868800,9.8683728000,10.7654976000,29169576,905024993.6000,2,27.780549,7.586207
2011-05-31,sz.002269,10.7654976000,12.0007694400,10.4215846700,10.8740870000,31489271,1023709035.1800,2,29.989782,1.008732
2011-06-30,sz.002269,10.8740870000,11.1020920500,9.9901289600,10.5127866900,15840542,471148027.6000,2,15.086230,-3.322581
2011-07-29,sz.002269,10.5233100000,11.6913974100,10.4391235200,11.2599417000,20811839,663954714.4300,2,19.820799,7.107107
2011-08-31,sz.002269,11.2248640000,12.5648321400,10.8740870000,11.2494183900,31214905,1032215665.9300,2,25.929118,-0.093458
2011-09-30,sz.002269,11.1266464400,11.4177913500,9.4920256200,9.5481499400,10826790,324722351.0200,2,1.077293,-15.123168
